site_name,site_id,cammlr_region,lon,lat,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference,is_outlier,log_count,decade,species_label,count_zscore,count_minmax,PC1,PC2
Useful Island,USEF,48.1,-62.864,-64.717,gentoo penguin,17.0,1.0,1984,1983,150.0,3.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,5.017279836814924,1980s,Gentoo,-0.7900242318659089,0.015445216129366644,-0.5833491080063159,-1.755320341317699
Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,11.0,1985,1985,3522.0,1.0,nests,ground,"<p id=""meeting2009management150"" class=""reference"">Antarctic Treaty Consultative Meeting (2009). <em>Management plan for Antarctic Specially Protected Area No. 150: Ardley Island  Maxwell Bay  King George Island (25 De Mayo)</em>. Final Report of the Thirty-second Antarctic Treaty Consultative Meeting Measure 9. Baltimore  United States: Antarctic Treaty System.</p>",False,8.167068178341237,1980s,Gentoo,1.2852065307171028,0.3649839328288587,2.3240996057623855,0.6022761360425773
Barton Peninsula,BART,48.1,-58.775,-62.237,gentoo penguin,,11.0,1985,1985,600.0,2.0,nests,unknown,"<p id=""meeting2014management171"" class=""reference"">Antarctic Treaty Consultative Meeting (2014). <em>Management plan for Antarctic Specially Protected Area No. 171: Nar&eogon;bski Point  Barton Peninsula  King George Island</em>. Final Report of the Thirty-seventh Antarctic Treaty Consultative Meeting Measure 11. Brasilia  Brasil: Antarctic Treaty System.</p>",False,6.398594934535208,1980s,Gentoo,-0.5130806247596351,0.06209184202342698,1.6625926817268237,-1.409107607911433
Gerlache Island,GERL,48.1,-64.214,-64.601,gentoo penguin,2.0,1.0,1985,1984,1023.0,1.0,nests,ground,"<p id=""parmalee1987revised"" class=""reference"">Parmalee  D. F. and J. M. Parmalee (1987). &ldquo;Revised penguin numbers and distributions for Anvers Island  Antarctica&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 76  pp. 65&ndash;73.</p>",False,6.931471805599453,1980s,Gentoo,-0.2527536340797377,0.10593967036384368,-0.5247818178932427,-0.12240348007754581
Llano Point,LLAN,48.1,-58.446,-62.176,gentoo penguin,,11.0,1985,1985,2466.0,1.0,nests,ground,"<p id=""hinke2019census"" class=""reference"">Hinke  J. T. (2019). &ldquo;Census Data of Colonial Penguins in Antarctica from 1977 to 2015 (NCEI Accession 0185113)&rdquo;. NOAA National Centers for Environmental Information. DOI: <a href=""https://doi.org/10.25921/58yq-7g68"">10.25921/58yq-7g68</a>.</p>",False,7.810758116529357,1980s,Gentoo,0.6353121993743802,0.25551985073079714,2.210930604777103,0.032004376785814144
Stranger Point,STRA,48.1,-58.616,-62.26,gentoo penguin,,11.0,1985,1985,2500.0,3.0,nests,ground,"<p id=""hahn1998potter"" class=""reference"">Hahn  S.  H. Peter  P. Quillfeldt  et al. (1998). &ldquo;The birds of the Potter Peninsula  King George Island  South Shetland Islands  Antarctica  1965&ndash;1998&rdquo;. In: <em>Marine Ornithology</em> 26.1&ndash;2  pp. 1&ndash;6.</p>",False,7.824445930877619,1980s,Gentoo,0.6562368274668542,0.25904426246501505,2.1990593493573374,-0.45851236345302515
Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,11.0,1986,1986,3410.0,1.0,nests,ground,"<p id=""meeting2009management150"" class=""reference"">Antarctic Treaty Consultative Meeting (2009). <em>Management plan for Antarctic Specially Protected Area No. 150: Ardley Island  Maxwell Bay  King George Island (25 De Mayo)</em>. Final Report of the Thirty-second Antarctic Treaty Consultative Meeting Measure 9. Baltimore  United States: Antarctic Treaty System.</p>",False,8.134760782418645,1980s,Gentoo,1.2162783440595413,0.3533741059396704,2.2776674650608464,0.5719262212348498
Barton Peninsula,BART,48.1,-58.775,-62.237,gentoo penguin,,11.0,1986,1986,475.0,1.0,nests,ground,"<p id=""kpri2020report6"" class=""reference"">Korean Polar Research Institute (2020). <em>A Study on Monitoring of Antarctic Special Protected Area and Environmental Management of Antarctic Base (6)</em>. BSPG19040-037-3. Sejong-si  Republic of Korea: Ministry of the Environment.</p>",False,6.16541785423142,1980s,Gentoo,-0.5900094045113778,0.04913444594174355,1.5655591558547348,-1.248135137733091
Beneden Head,BENE,48.1,-62.701,-64.767,gentoo penguin,30.0,1.0,1986,1985,700.0,3.0,chicks,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,6.55250788703459,1980s,Gentoo,-0.4515376009582409,0.0724577588887737,-0.37125003654159444,-0.9729130318086892
Bryde Island East,BRYE,48.1,-62.927,-64.89,gentoo penguin,31.0,1.0,1986,1985,173.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,5.159055299214529,1980s,Gentoo,-0.7758693363915883,0.01782937700839639,-0.7689563669774835,-1.0936301185710233
